   -0.2838	0.0000000000e+00	0.0000000000e+00	3.4470497284e-03	0.0000000000e+00	
   -0.2659	1.3788198913e-03	0.0000000000e+00	2.0682298370e-03	0.0000000000e+00	
   -0.2480	8.9623292937e-03	2.2750528207e-02	1.3788198913e-02	2.0682298370e-03	
   -0.2301	1.7235248642e-02	4.0675186795e-02	2.0682298370e-02	1.7235248642e-02	
   -0.2122	7.3077454241e-02	9.8585622231e-02	4.8258696197e-02	7.5835094024e-02	
   -0.1943	1.4339726870e-01	2.1716413289e-01	1.6545838696e-01	1.5994310740e-01	
   -0.1764	3.4332615294e-01	3.6331904137e-01	3.4608379273e-01	3.4056851316e-01	
   -0.1585	6.1564308149e-01	6.4115124948e-01	7.0802401421e-01	6.6321236774e-01	
   -0.1406	1.0492819373e+00	1.1520040192e+00	1.1361475905e+00	1.1258064413e+00	
   -0.1227	1.7786776598e+00	1.6449321304e+00	1.8427927848e+00	1.8186634367e+00	
   -0.1047	2.5790826068e+00	2.4529205867e+00	2.6687058997e+00	2.6804258688e+00	
   -0.0868	3.6028563761e+00	3.6628350414e+00	3.4153368709e+00	3.5725223385e+00	
   -0.0689	4.5335598027e+00	4.4142918821e+00	4.3515555771e+00	4.4584141187e+00	
   -0.0510	5.2402049971e+00	5.2340003075e+00	5.3050095320e+00	5.0878453991e+00	
   -0.0331	5.8144834818e+00	5.8386128299e+00	5.6435098153e+00	5.7503683569e+00	
   -0.0152	6.1495367154e+00	5.8958338554e+00	6.0233746953e+00	5.9034173648e+00	
    0.0027	5.6883214617e+00	5.7800129845e+00	5.7855282641e+00	5.6255851567e+00	
    0.0206	5.0437231625e+00	5.1292099958e+00	5.1712640025e+00	5.1154217969e+00	
    0.0385	4.1350808541e+00	4.1440431834e+00	4.0861327480e+00	4.2736522532e+00	
    0.0564	3.1250952837e+00	3.3498429260e+00	3.1409517125e+00	3.3257135779e+00	
    0.0743	2.3791537225e+00	2.2178317952e+00	2.3302056164e+00	2.3233115169e+00	
    0.0922	1.5835746452e+00	1.4918831224e+00	1.5394524087e+00	1.5573770673e+00	
    0.1101	9.4104457584e-01	9.5759041454e-01	1.0024020610e+00	9.7758330296e-01	
    0.1281	5.0671631007e-01	5.5566441621e-01	5.7014202507e-01	5.1429981947e-01	
    0.1460	2.6886987881e-01	2.9162040702e-01	3.1230270539e-01	2.6886987881e-01	
    0.1639	1.3719257919e-01	1.2340438028e-01	1.4408667865e-01	1.2409379022e-01	
    0.1818	5.3773975762e-02	5.7910435437e-02	4.4122236523e-02	5.9289255328e-02	
    0.1997	2.6197577936e-02	3.5849317175e-02	1.3098788968e-02	1.5856428750e-02	
    0.2176	2.7576397827e-03	1.9303478479e-02	6.8940994567e-03	4.8258696197e-03	
    0.2355	0.0000000000e+00	8.9623292937e-03	1.3788198913e-03	0.0000000000e+00	
