   -0.3887	5.8799922425e-03	3.9199948283e-03	
   -0.3632	9.7999870708e-03	1.2249983838e-02	
   -0.3376	2.4989967031e-02	2.1559971556e-02	
   -0.3121	6.7619910788e-02	1.0730985843e-01	
   -0.2866	1.3474982222e-01	1.8521975564e-01	
   -0.2611	2.6655964833e-01	2.9203961471e-01	
   -0.2356	5.0567933285e-01	4.5373940138e-01	
   -0.2101	8.4769888162e-01	7.8301896696e-01	
   -0.1846	1.1921684272e+00	1.1906984291e+00	
   -0.1591	1.7247977245e+00	1.7007877561e+00	
   -0.1336	2.2740869998e+00	2.1525671601e+00	
   -0.1080	2.7199864115e+00	2.7983863081e+00	
   -0.0825	3.2374257288e+00	3.3834455362e+00	
   -0.0570	3.7945549938e+00	3.7078251082e+00	
   -0.0315	3.8812848794e+00	3.8920648652e+00	
   -0.0060	3.7254650850e+00	3.7970049906e+00	
    0.0195	3.4476354515e+00	3.3922655246e+00	
    0.0450	3.0972859137e+00	3.0223160126e+00	
    0.0705	2.5680866119e+00	2.5705366087e+00	
    0.0960	1.9531374232e+00	1.9575474174e+00	
    0.1215	1.4200181266e+00	1.4430480962e+00	
    0.1471	9.4667875104e-01	9.5157874457e-01	
    0.1726	6.2229917900e-01	5.9142921972e-01	
    0.1981	3.4005955136e-01	3.6553951774e-01	
    0.2236	1.7884976404e-01	2.1657971426e-01	
    0.2491	1.0681985907e-01	1.3278982481e-01	
    0.2746	6.3699915960e-02	5.2429930829e-02	
    0.3001	3.0379959919e-02	1.3719981899e-02	
    0.3256	8.8199883637e-03	5.8799922425e-03	
    0.3511	3.4299954748e-03	2.4499967677e-03	
