   -0.3592	6.0617720690e-03	1.0102953448e-02	
   -0.3345	5.1525062586e-02	4.5463290517e-02	
   -0.3097	7.7792741552e-02	1.1618396466e-01	
   -0.2850	1.4548252965e-01	2.0963628405e-01	
   -0.2603	2.5863560828e-01	2.7732607215e-01	
   -0.2355	4.9959104802e-01	4.9504471896e-01	
   -0.2108	7.8146344922e-01	7.7994800621e-01	
   -0.1860	1.2133647091e+00	1.1274896048e+00	
   -0.1613	1.6599152515e+00	1.6583998085e+00	
   -0.1365	2.0978782835e+00	2.2362887458e+00	
   -0.1118	2.7924563331e+00	2.7990232528e+00	
   -0.0870	3.1864715176e+00	3.2036465384e+00	
   -0.0623	3.6380735367e+00	3.4920858594e+00	
   -0.0376	3.7522369107e+00	3.7047530295e+00	
   -0.0128	3.6875780086e+00	3.7264743794e+00	
    0.0119	3.5814969974e+00	3.4759211339e+00	
    0.0367	3.2915422334e+00	3.2314296604e+00	
    0.0614	2.7141584439e+00	2.7555805530e+00	
    0.0862	2.2297218260e+00	2.2423505178e+00	
    0.1109	1.7740786255e+00	1.6922447026e+00	
    0.1357	1.1648705326e+00	1.1648705326e+00	
    0.1604	7.6883475741e-01	7.9106125500e-01	
    0.1852	4.7382851672e-01	5.2838446534e-01	
    0.2099	2.7379003845e-01	2.8641873026e-01	
    0.2346	1.7124506095e-01	1.8033771905e-01	
    0.2594	7.6277298534e-02	1.0658615888e-01	
    0.2841	2.6267678965e-02	4.0411813793e-02	
    0.3089	1.7175020862e-02	2.4247088276e-02	
    0.3336	0.0000000000e+00	4.5463290517e-03	
    0.3584	0.0000000000e+00	5.5566243965e-03	
